Date,Category,Amount,Payment_Mode,Description
2024-01-02,Food,450,UPI,Swiggy dinner order
2024-01-03,Travel,120,UPI,Ola auto to office
2024-01-04,Food,85,Cash,Tea and snacks
2024-01-05,Bills,1500,Net Banking,Electricity bill January
2024-01-06,Shopping,2999,Credit Card,Amazon - Wireless earbuds
2024-01-07,Food,650,UPI,Zomato weekend lunch
2024-01-08,Entertainment,199,UPI,Netflix monthly subscription
2024-01-09,Food,320,UPI,Grocery from BigBasket
2024-01-10,Travel,250,UPI,Uber ride to mall
2024-01-11,Healthcare,500,Cash,Pharmacy - cold medicine
2024-01-12,Food,180,Cash,Street food
2024-01-13,Bills,799,Net Banking,Internet bill - Airtel
2024-01-14,Food,1200,Credit Card,Restaurant dinner with friends
2024-01-15,Shopping,1499,UPI,Flipkart - phone case and charger
2024-01-16,Travel,80,Cash,Metro ticket
2024-01-17,Food,95,UPI,Coffee at cafe
2024-01-18,Entertainment,350,UPI,Movie ticket - PVR
2024-01-19,Food,520,UPI,Swiggy lunch
2024-01-20,Bills,12000,Net Banking,House rent January
2024-01-21,Food,280,Cash,Vegetable market
2024-01-22,Travel,150,UPI,Rapido bike ride
2024-01-23,Healthcare,1200,Credit Card,Doctor consultation
2024-01-24,Food,410,UPI,Dominos pizza
2024-01-25,Shopping,3500,Credit Card,Myntra clothing
2024-01-26,Food,75,Cash,Juice shop
2024-01-27,Entertainment,499,UPI,Spotify yearly divided
2024-01-28,Travel,200,UPI,Ola to railway station
2024-01-29,Food,600,UPI,Zomato family dinner
2024-01-30,Bills,450,UPI,Gas cylinder booking
2024-01-31,Other,1000,Net Banking,Charity donation
2024-02-01,Food,380,UPI,Swiggy breakfast combo
2024-02-02,Bills,1650,Net Banking,Electricity bill February
2024-02-03,Travel,300,UPI,Uber to airport
2024-02-04,Food,150,Cash,Canteen lunch
2024-02-05,Shopping,5999,Credit Card,Amazon - fitness tracker
2024-02-06,Food,720,UPI,BBQ Nation dinner
2024-02-07,Healthcare,350,Cash,Pharmacy monthly vitamins
2024-02-08,Entertainment,250,UPI,Gaming subscription
2024-02-09,Food,95,Cash,Tea stall
2024-02-10,Travel,180,UPI,Ola ride
2024-02-11,Food,450,UPI,Grocery Zepto
2024-02-12,Bills,799,Net Banking,Internet bill February
2024-02-13,Food,850,Credit Card,Valentine dinner
2024-02-14,Shopping,2499,UPI,Gift for partner
2024-02-15,Travel,90,Cash,Auto rickshaw
2024-02-16,Food,210,Cash,Bakery items
2024-02-17,Entertainment,600,UPI,Concert ticket
2024-02-18,Food,340,UPI,Swiggy order
2024-02-19,Bills,12000,Net Banking,House rent February
2024-02-20,Healthcare,2500,Credit Card,Blood test and checkup
2024-02-21,Food,180,Cash,Fruit vendor
2024-02-22,Travel,220,UPI,Uber pool
2024-02-23,Food,490,UPI,Pizza Hut
2024-02-24,Shopping,899,UPI,Book order - Amazon
2024-02-25,Food,130,Cash,Street chaat
2024-02-26,Other,500,UPI,Parking charges monthly
2024-02-27,Travel,160,UPI,Metro recharge
2024-02-28,Food,550,UPI,Zomato dinner
2024-02-29,Bills,300,Cash,Water bill
2024-03-01,Food,420,UPI,Swiggy order
2024-03-02,Travel,350,UPI,Ola outstation
2024-03-03,Bills,1800,Net Banking,Electricity bill March
2024-03-04,Food,260,Cash,Local restaurant
2024-03-05,Shopping,7999,Credit Card,Amazon - headphones premium
2024-03-06,Entertainment,199,UPI,Netflix subscription
2024-03-07,Food,380,UPI,BigBasket grocery
2024-03-08,Healthcare,800,Cash,Dental checkup
2024-03-09,Food,150,Cash,Samosa and chai
2024-03-10,Travel,280,UPI,Uber to client meeting
2024-03-11,Food,950,Credit Card,Fine dining restaurant
2024-03-12,Bills,799,Net Banking,Internet bill March
2024-03-13,Shopping,1999,UPI,Flipkart - backpack
2024-03-14,Food,110,Cash,Coffee
2024-03-15,Entertainment,400,UPI,PVR movie with snacks
2024-03-16,Travel,100,Cash,Bus ticket
2024-03-17,Food,680,UPI,Swiggy family order
2024-03-18,Healthcare,450,UPI,Eye checkup
2024-03-19,Food,290,Cash,Grocery local shop
2024-03-20,Bills,12000,Net Banking,House rent March
2024-03-21,Other,2000,Net Banking,Professional course EMI
2024-03-22,Food,520,UPI,Zomato order
2024-03-23,Travel,200,UPI,Rapido ride
2024-03-24,Shopping,3299,Credit Card,Shoes - Nike
2024-03-25,Food,170,Cash,Fruit juice
2024-03-26,Entertainment,149,UPI,Hotstar subscription
2024-03-27,Food,440,UPI,Dominos order
2024-03-28,Bills,450,UPI,Gas cylinder
2024-03-29,Travel,150,UPI,Auto to hospital
2024-03-30,Food,350,Cash,Dhaba dinner
2024-03-31,Healthcare,1500,Credit Card,Medicine monthly stock
2024-04-01,Food,390,UPI,Swiggy breakfast
2024-04-02,Bills,1550,Net Banking,Electricity bill April
2024-04-03,Travel,400,UPI,Ola to wedding venue
2024-04-04,Food,280,Cash,Office canteen
2024-04-05,Shopping,4599,Credit Card,Amazon - smart watch
2024-04-06,Entertainment,350,UPI,Bowling alley
2024-04-07,Food,620,UPI,Biryani order Swiggy
2024-04-08,Healthcare,600,Cash,Pharmacy
2024-04-09,Food,85,Cash,Tea and biscuits
2024-04-10,Travel,130,UPI,Metro
2024-04-11,Food,750,Credit Card,Anniversary dinner
2024-04-12,Bills,799,Net Banking,Internet bill April
2024-04-13,Shopping,1299,UPI,Clothes - Ajio
2024-04-14,Food,200,Cash,Bakery
2024-04-15,Entertainment,199,UPI,Netflix
2024-04-16,Travel,180,UPI,Ola ride
2024-04-17,Food,460,UPI,Zomato lunch
2024-04-18,Other,3000,Net Banking,Insurance premium
2024-04-19,Food,310,Cash,Grocery
2024-04-20,Bills,12000,Net Banking,House rent April
2024-04-21,Healthcare,950,Credit Card,Physiotherapy session
2024-04-22,Food,140,Cash,Juice bar
2024-04-23,Travel,250,UPI,Uber to airport
2024-04-24,Shopping,6499,Credit Card,Flipkart - tablet cover and accessories
2024-04-25,Food,550,UPI,KFC family bucket
2024-04-26,Entertainment,500,UPI,Amusement park
2024-04-27,Food,190,Cash,Pani puri stall
2024-04-28,Bills,450,UPI,Gas booking
2024-04-29,Travel,90,Cash,Auto fare
2024-04-30,Food,680,UPI,Swiggy dinner
2024-05-01,Food,350,UPI,Swiggy lunch
2024-05-02,Travel,170,UPI,Ola share
2024-05-03,Bills,1900,Net Banking,Electricity bill May
2024-05-04,Food,420,Cash,Restaurant lunch
2024-05-05,Shopping,2199,Credit Card,Amazon - bluetooth speaker
2024-05-06,Healthcare,300,Cash,Medicine refill
2024-05-07,Entertainment,199,UPI,Netflix
2024-05-08,Food,260,UPI,Zepto grocery
2024-05-09,Travel,350,UPI,Uber long ride
2024-05-10,Food,580,Credit Card,Barbeque Nation
2024-05-11,Bills,799,Net Banking,Internet bill May
2024-05-12,Shopping,1799,UPI,Myntra - kurta set
2024-05-13,Food,95,Cash,Chai tapri
2024-05-14,Entertainment,450,UPI,Movie night out
2024-05-15,Travel,120,Cash,Metro
2024-05-16,Food,710,UPI,Zomato family order
2024-05-17,Healthcare,2200,Credit Card,Full body checkup
2024-05-18,Food,160,Cash,Fruits and snacks
2024-05-19,Bills,12000,Net Banking,House rent May
2024-05-20,Other,1500,UPI,Society maintenance
2024-05-21,Food,480,UPI,Swiggy dinner
2024-05-22,Travel,200,UPI,Rapido
2024-05-23,Shopping,3999,Credit Card,Decathlon - sports gear
2024-05-24,Food,230,Cash,Local eatery
2024-05-25,Entertainment,299,UPI,YouTube Premium
2024-05-26,Food,390,UPI,McDonald's
2024-05-27,Bills,500,Cash,Water bill
2024-05-28,Travel,280,UPI,Uber to event
2024-05-29,Food,650,UPI,Dinner date
2024-05-30,Healthcare,400,Cash,Pharmacy
2024-05-31,Food,180,Cash,Bakery items
2024-06-01,Food,410,UPI,Swiggy order
2024-06-02,Bills,2100,Net Banking,Electricity bill June (summer AC)
2024-06-03,Travel,150,UPI,Auto ride
2024-06-04,Food,320,Cash,Canteen
2024-06-05,Shopping,8499,Credit Card,Amazon - laptop bag and accessories
2024-06-06,Entertainment,199,UPI,Netflix
2024-06-07,Food,550,UPI,Zomato weekend
2024-06-08,Healthcare,700,Cash,Dermatologist visit
2024-06-09,Food,130,Cash,Ice cream parlor
2024-06-10,Travel,400,UPI,Ola airport drop
2024-06-11,Food,890,Credit Card,Fine dining
2024-06-12,Bills,799,Net Banking,Internet June
2024-06-13,Shopping,2999,UPI,Lifestyle - formal wear
2024-06-14,Food,75,Cash,Gola and snacks
2024-06-15,Entertainment,600,UPI,Water park entry
2024-06-16,Travel,200,UPI,Uber
2024-06-17,Food,470,UPI,Swiggy
2024-06-18,Bills,12000,Net Banking,House rent June
2024-06-19,Healthcare,1800,Credit Card,Eye specialist + glasses
2024-06-20,Food,350,Cash,Grocery
2024-06-21,Other,2500,Net Banking,Online course fee
2024-06-22,Travel,300,UPI,Ola outstation
2024-06-23,Food,620,UPI,Birthday party order
2024-06-24,Shopping,1599,UPI,Shoes - Bata
2024-06-25,Food,110,Cash,Lassi shop
2024-06-26,Entertainment,350,UPI,PVR movie
2024-06-27,Food,490,UPI,Zomato order
2024-06-28,Bills,450,UPI,Gas cylinder
2024-06-29,Travel,160,Cash,Auto
2024-06-30,Food,580,UPI,Month end dinner
2024-07-01,Food,360,UPI,Swiggy order
2024-07-02,Travel,190,UPI,Ola ride
2024-07-03,Bills,1750,Net Banking,Electricity July
2024-07-04,Food,280,Cash,Local mess
2024-07-05,Shopping,5499,Credit Card,Amazon - wireless keyboard mouse
2024-07-06,Healthcare,350,Cash,Pharmacy refill
2024-07-07,Entertainment,199,UPI,Netflix
2024-07-08,Food,430,UPI,BigBasket weekly
2024-07-09,Travel,500,UPI,Uber intercity
2024-07-10,Food,720,Credit Card,Japanese restaurant
2024-07-11,Bills,799,Net Banking,Internet July
2024-07-12,Shopping,2299,UPI,Flipkart - bedsheets set
2024-07-13,Food,160,Cash,Sandwich shop
2024-07-14,Entertainment,800,UPI,Go karting
2024-07-15,Travel,100,Cash,Bus fare
2024-07-16,Food,540,UPI,Swiggy family
2024-07-17,Healthcare,3500,Credit Card,Dental treatment
2024-07-18,Food,200,Cash,Fruits
2024-07-19,Bills,12000,Net Banking,House rent July
2024-07-20,Other,1000,UPI,Gift for colleague
2024-07-21,Food,390,UPI,Zomato
2024-07-22,Travel,220,UPI,Rapido
2024-07-23,Shopping,4299,Credit Card,Nike - running shoes
2024-07-24,Food,170,Cash,Momos stall
2024-07-25,Entertainment,149,UPI,Hotstar
2024-07-26,Food,610,UPI,Dominos party order
2024-07-27,Bills,350,Cash,Newspaper annual
2024-07-28,Travel,130,UPI,Metro recharge
2024-07-29,Food,450,UPI,Dinner out
2024-07-30,Healthcare,550,Cash,Medicine
2024-07-31,Food,290,Cash,Grocery
2024-08-01,Food,380,UPI,Swiggy
2024-08-02,Bills,1850,Net Banking,Electricity August
2024-08-03,Travel,260,UPI,Ola
2024-08-04,Food,510,Credit Card,Thai restaurant
2024-08-05,Shopping,3799,Credit Card,Amazon - camera accessories
2024-08-06,Entertainment,199,UPI,Netflix
2024-08-07,Food,140,Cash,Tea and samosa
2024-08-08,Healthcare,900,UPI,Blood pressure checkup
2024-08-09,Travel,170,Cash,Auto
2024-08-10,Food,670,UPI,Zomato large order
2024-08-11,Bills,799,Net Banking,Internet August
2024-08-12,Shopping,1899,UPI,Myntra - casuals
2024-08-13,Food,230,Cash,Street food
2024-08-14,Entertainment,550,UPI,Independence day outing
2024-08-15,Travel,450,UPI,Uber holiday trip
2024-08-16,Food,780,Credit Card,Buffet dinner
2024-08-17,Bills,12000,Net Banking,House rent August
2024-08-18,Healthcare,1200,Credit Card,Allergy specialist
2024-08-19,Food,310,Cash,Grocery
2024-08-20,Other,2000,Net Banking,Course material
2024-08-21,Food,460,UPI,Swiggy
2024-08-22,Travel,180,UPI,Rapido
2024-08-23,Shopping,6999,Credit Card,Flipkart - external SSD
2024-08-24,Food,120,Cash,Juice shop
2024-08-25,Entertainment,400,UPI,Escape room
2024-08-26,Food,550,UPI,KFC
2024-08-27,Bills,450,UPI,Gas
2024-08-28,Travel,210,UPI,Ola share
2024-08-29,Food,690,UPI,Family dinner
2024-08-30,Healthcare,480,Cash,Pharmacy
2024-08-31,Food,250,Cash,Bakery
2024-09-01,Food,400,UPI,Swiggy lunch
2024-09-02,Travel,300,UPI,Uber office
2024-09-03,Bills,1600,Net Banking,Electricity September
2024-09-04,Food,340,Cash,Canteen week
2024-09-05,Shopping,2599,Credit Card,Amazon - keyboard
2024-09-06,Entertainment,199,UPI,Netflix
2024-09-07,Food,480,UPI,Zomato
2024-09-08,Healthcare,650,Cash,Dentist cleaning
2024-09-09,Travel,140,UPI,Metro
2024-09-10,Food,820,Credit Card,Italian restaurant
2024-09-11,Bills,799,Net Banking,Internet September
2024-09-12,Shopping,3499,UPI,Pantaloons clothing
2024-09-13,Food,95,Cash,Chai
2024-09-14,Entertainment,750,UPI,Dandiya night
2024-09-15,Travel,250,UPI,Ola to station
2024-09-16,Food,560,UPI,Swiggy dinner
2024-09-17,Healthcare,1500,Credit Card,Annual health check
2024-09-18,Food,200,Cash,Fruits vendor
2024-09-19,Bills,12000,Net Banking,House rent September
2024-09-20,Other,1200,UPI,Pooja supplies
2024-09-21,Food,630,UPI,Biryani feast
2024-09-22,Travel,180,UPI,Rapido
2024-09-23,Shopping,5999,Credit Card,Croma - headphones
2024-09-24,Food,150,Cash,Snacks
2024-09-25,Entertainment,350,UPI,Movie
2024-09-26,Food,410,UPI,Dominos
2024-09-27,Bills,450,UPI,Gas
2024-09-28,Travel,200,Cash,Auto
2024-09-29,Food,530,UPI,Dinner out
2024-09-30,Healthcare,380,Cash,Medicine
2024-10-01,Food,450,UPI,Swiggy festive order
2024-10-02,Travel,350,UPI,Ola ride
2024-10-03,Bills,1700,Net Banking,Electricity October
2024-10-04,Food,1200,Credit Card,Diwali dinner party
2024-10-05,Shopping,12999,Credit Card,Amazon - Diwali shopping spree
2024-10-06,Entertainment,199,UPI,Netflix
2024-10-07,Food,380,UPI,BigBasket festive
2024-10-08,Healthcare,500,Cash,Pharmacy
2024-10-09,Travel,600,UPI,Uber Diwali travel
2024-10-10,Food,950,Credit Card,Diwali sweet box orders
2024-10-11,Bills,799,Net Banking,Internet October
2024-10-12,Shopping,8499,Credit Card,Flipkart Big Billion sale
2024-10-13,Food,280,Cash,Mithai shop
2024-10-14,Entertainment,1200,UPI,Diwali party and crackers
2024-10-15,Other,5000,Net Banking,Diwali gifts for family
2024-10-16,Food,650,UPI,Zomato celebration
2024-10-17,Travel,180,UPI,Metro
2024-10-18,Bills,12000,Net Banking,House rent October
2024-10-19,Shopping,4999,Credit Card,Furniture - small table
2024-10-20,Food,420,UPI,Swiggy
2024-10-21,Healthcare,2000,Credit Card,Post-festival checkup
2024-10-22,Food,190,Cash,Snack shop
2024-10-23,Travel,220,UPI,Rapido
2024-10-24,Entertainment,350,UPI,Bowling
2024-10-25,Food,570,UPI,Dinner
2024-10-26,Bills,450,UPI,Gas
2024-10-27,Shopping,2999,UPI,Diwali sale clothes
2024-10-28,Food,310,Cash,Grocery
2024-10-29,Travel,150,Cash,Auto
2024-10-30,Food,480,UPI,Zomato
2024-10-31,Other,800,Cash,Temple donation
2024-11-01,Food,370,UPI,Swiggy
2024-11-02,Bills,1550,Net Banking,Electricity November
2024-11-03,Travel,200,UPI,Ola
2024-11-04,Food,290,Cash,Mess
2024-11-05,Shopping,3499,Credit Card,Amazon - winter jacket
2024-11-06,Healthcare,750,Cash,Flu treatment
2024-11-07,Entertainment,199,UPI,Netflix
2024-11-08,Food,520,UPI,Zomato
2024-11-09,Travel,280,UPI,Uber
2024-11-10,Food,680,Credit Card,North Indian restaurant
2024-11-11,Bills,799,Net Banking,Internet November
2024-11-12,Shopping,1999,UPI,Flipkart - blanket set
2024-11-13,Food,110,Cash,Tea
2024-11-14,Entertainment,450,UPI,Stand-up comedy show
2024-11-15,Travel,160,Cash,Auto
2024-11-16,Food,490,UPI,Swiggy dinner
2024-11-17,Healthcare,1100,Credit Card,ENT specialist
2024-11-18,Food,340,Cash,Grocery
2024-11-19,Bills,12000,Net Banking,House rent November
2024-11-20,Other,1500,Net Banking,Professional membership
2024-11-21,Food,600,UPI,Birthday party food
2024-11-22,Travel,350,UPI,Ola outstation
2024-11-23,Shopping,7499,Credit Card,Winter sale - multiple items
2024-11-24,Food,180,Cash,Momos
2024-11-25,Entertainment,300,UPI,Game zone
2024-11-26,Food,430,UPI,Pizza order
2024-11-27,Bills,450,UPI,Gas
2024-11-28,Travel,190,UPI,Metro
2024-11-29,Food,560,UPI,Family dinner
2024-11-30,Healthcare,420,Cash,Medicine
2024-12-01,Food,390,UPI,Swiggy
2024-12-02,Travel,250,UPI,Ola to event
2024-12-03,Bills,1650,Net Banking,Electricity December
2024-12-04,Food,450,Cash,Restaurant
2024-12-05,Shopping,9999,Credit Card,Amazon - Christmas and year-end shopping
2024-12-06,Entertainment,199,UPI,Netflix
2024-12-07,Food,580,UPI,Zomato weekend
2024-12-08,Healthcare,850,Cash,Skin specialist
2024-12-09,Travel,500,UPI,Uber long trip
2024-12-10,Food,720,Credit Card,Christmas party dinner
2024-12-11,Bills,799,Net Banking,Internet December
2024-12-12,Shopping,4599,Credit Card,Flipkart - year end deals
2024-12-13,Food,160,Cash,Street food
2024-12-14,Entertainment,900,UPI,New Year eve party advance
2024-12-15,Travel,300,UPI,Ola
2024-12-16,Food,510,UPI,Swiggy
2024-12-17,Healthcare,1300,Credit Card,Annual dental
2024-12-18,Food,270,Cash,Grocery
2024-12-19,Bills,12000,Net Banking,House rent December
2024-12-20,Other,3000,Net Banking,Year-end charity
2024-12-21,Food,650,UPI,Christmas dinner prep
2024-12-22,Travel,400,UPI,Uber holiday travel
2024-12-23,Shopping,5999,Credit Card,Gifts and year-end sale
2024-12-24,Food,890,Credit Card,Christmas eve dinner
2024-12-25,Entertainment,1500,UPI,Christmas party
2024-12-26,Food,350,Cash,Leftover groceries
2024-12-27,Bills,450,UPI,Gas
2024-12-28,Travel,220,UPI,Rapido
2024-12-29,Food,480,UPI,Zomato
2024-12-30,Healthcare,550,Cash,Pharmacy year-end stock
2024-12-31,Food,1100,Credit Card,New Year eve dinner
